,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,1
808,5
809,18
810,21
811,41
812,52
813,55
814,49
815,34
816,22
817,31
818,16
819,10
820,4
821,1
822,3
823,3
824,1
825,6
826,33
827,64
828,71
829,73
830,36
831,22
832,3
833,4
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,2
849,12
850,20
851,41
852,40
853,47
854,53
855,39
856,26
857,28
858,25
859,14
860,9
861,1
862,2
863,2
864,2
865,13
866,49
867,64
868,69
869,50
870,23
871,10
872,3
873,1
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,2
889,6
890,10
891,23
892,32
893,36
894,48
895,45
896,27
897,27
898,21
899,21
900,15
901,7
902,3
903,2
904,7
905,37
906,64
907,83
908,46
909,32
910,17
911,3
912,2
913,1
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,0
928,0
929,4
930,9
931,20
932,40
933,45
934,59
935,51
936,47
937,30
938,33
939,27
940,22
941,21
942,7
943,4
944,25
945,67
946,80
947,77
948,50
949,27
950,6
951,2
952,1
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,4
970,1
971,12
972,27
973,40
974,55
975,46
976,41
977,35
978,24
979,34
980,31
981,24
982,16
983,14
984,52
985,65
986,80
987,56
988,32
989,14
990,4
991,2
992,0
993,0
994,0
995,0
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,4
1011,2
1012,14
1013,24
1014,41
1015,51
1016,49
1017,50
1018,33
1019,30
1020,44
1021,33
1022,21
1023,38
1024,72
1025,75
1026,66
1027,45
1028,24
1029,5
1030,1
1031,1
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,3
1051,4
1052,5
1053,18
1054,45
1055,48
1056,47
1057,60
1058,50
1059,37
1060,36
1061,42
1062,35
1063,78
1064,102
1065,83
1066,55
1067,48
1068,8
1069,2
1070,1
1071,0
1072,0
1073,0
1074,0
1075,0
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,0
1088,0
1089,0
1090,0
1091,1
1092,3
1093,5
1094,23
1095,34
1096,45
1097,58
1098,49
1099,57
1100,49
1101,37
1102,71
1103,109
1104,96
1105,76
1106,46
1107,21
1108,4
1109,2
1110,0
1111,0
1112,0
1113,0
1114,0
1115,0
1116,0
1117,0
1118,0
1119,0
1120,0
1121,0
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,2
1133,5
1134,7
1135,21
1136,41
1137,44
1138,57
1139,54
1140,67
1141,58
1142,100
1143,116
1144,108
1145,63
1146,45
1147,11
1148,2
1149,1
1150,0
1151,0
1152,0
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0
1159,0
1160,0
1161,0
1162,0
1163,0
1164,0
1165,0
1166,0
1167,0
1168,0
1169,0
1170,0
1171,0
1172,0
1173,2
1174,5
1175,10
1176,21
1177,42
1178,49
1179,60
1180,72
1181,94
1182,114
1183,131
1184,99
1185,59
1186,25
1187,5
1188,1
1189,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,0
1196,0
1197,0
1198,0
1199,0
1200,0
1201,0
1202,0
1203,0
1204,0
1205,0
1206,0
1207,0
1208,0
1209,0
1210,0
1211,0
1212,0
1213,0
1214,2
1215,5
1216,11
1217,20
1218,39
1219,49
1220,71
1221,93
1222,118
1223,128
1224,81
1225,46
1226,11
1227,1
1228,0
1229,0
1230,0
1231,0
1232,0
1233,0
1234,0
1235,0
1236,0
1237,0
1238,0
1239,0
1240,0
1241,0
1242,0
1243,0
1244,0
1245,0
1246,0
1247,0
1248,0
1249,0
1250,0
1251,0
1252,0
1253,0
1254,0
1255,0
1256,1
1257,9
1258,21
1259,46
1260,48
1261,74
1262,91
1263,91
1264,62
1265,27
1266,9
1267,2
1268,0
1269,0
1270,0
1271,0
1272,0
1273,0
1274,0
1275,0
1276,0
1277,0
1278,0
1279,0
1280,0
1281,0
1282,0
1283,0
1284,0
1285,0
1286,0
1287,0
1288,0
1289,0
1290,0
1291,0
1292,0
1293,0
1294,0
1295,0
1296,0
1297,2
1298,9
1299,19
1300,39
1301,50
1302,57
1303,47
1304,34
1305,14
1306,8
1307,1
1308,0
1309,0
1310,0
1311,0
1312,0
1313,0
1314,0
1315,0
1316,0
1317,0
1318,0
1319,0
1320,0
1321,0
1322,0
1323,0
1324,0
1325,0
1326,0
1327,0
1328,0
1329,0
1330,0
1331,0
1332,0
1333,0
1334,0
1335,0
1336,0
1337,0
1338,1
1339,6
1340,14
1341,27
1342,30
1343,29
1344,14
1345,4
1346,2
1347,2
1348,0
1349,0
1350,0
1351,0
1352,0
1353,0
1354,0
1355,0
1356,0
1357,0
1358,0
1359,0
1360,0
1361,0
1362,0
1363,0
1364,0
1365,0
1366,0
1367,0
1368,0
1369,0
1370,0
1371,0
1372,0
1373,0
1374,0
1375,0
1376,0
1377,0
1378,0
1379,0
1380,4
1381,5
1382,10
1383,18
1384,4
1385,2
1386,0
1387,0
1388,0
1389,0
1390,0
1391,0
1392,0
1393,0
1394,0
1395,0
1396,0
1397,0
1398,0
1399,0
1400,0
1401,0
1402,0
1403,0
1404,0
1405,0
1406,0
1407,0
1408,0
1409,0
1410,0
1411,0
1412,0
1413,0
1414,0
1415,0
1416,0
1417,0
1418,0
1419,0
1420,1
1421,3
1422,4
1423,2
1424,0
1425,0
1426,0
1427,0
1428,0
1429,0
1430,0
1431,0
1432,0
1433,0
1434,0
1435,0
1436,0
1437,0
1438,0
1439,0
1440,0
1441,0
1442,0
1443,0
1444,0
1445,0
1446,0
1447,0
1448,0
1449,0
1450,0
1451,0
1452,0
1453,0
1454,0
1455,0
1456,0
1457,0
1458,0
1459,0
1460,0
1461,2
1462,0
1463,2
1464,0
1465,0
1466,0
1467,0
1468,0
1469,0
1470,0
1471,0
1472,0
1473,0
1474,0
1475,0
1476,0
1477,0
1478,0
1479,0
1480,0
1481,0
1482,0
1483,0
1484,0
1485,0
1486,0
1487,0
1488,0
1489,0
1490,0
1491,0
1492,0
1493,0
1494,0
1495,0
1496,0
1497,0
1498,0
1499,0
1500,0
1501,1
1502,0
1503,1
1504,1
1505,0
1506,0
1507,0
1508,0
1509,0
1510,0
1511,0
1512,0
1513,0
1514,0
1515,0
1516,0
1517,0
1518,0
1519,0
1520,0
1521,0
1522,0
1523,0
1524,0
1525,0
1526,0
1527,0
1528,0
1529,0
1530,0
1531,0
1532,0
1533,0
1534,0
1535,0
1536,0
1537,0
1538,0
1539,0
1540,0
1541,0
1542,0
1543,0
1544,1
1545,1
1546,0
1547,0
1548,0
1549,0
1550,0
1551,0
1552,0
1553,0
1554,0
1555,0
1556,0
1557,0
1558,0
1559,0
1560,0
1561,0
1562,0
1563,0
1564,0
1565,0
1566,0
1567,0
1568,0
1569,0
1570,0
1571,0
1572,0
1573,0
1574,0
1575,0
1576,0
1577,0
1578,0
1579,0
1580,0
1581,0
1582,0
1583,0
1584,0
1585,0
1586,0
1587,0
1588,0
1589,0
1590,0
1591,0
1592,0
1593,0
1594,0
1595,0
1596,0
1597,0
1598,0
1599,0
1600,0
